genome_uuid	production_name
ff7a2ba3-b5ce-4c24-b452-c0b56fcf16fa	homo_sapiens_gca018503285v1
cd28bb60-0077-4030-bfe5-20603ab84368	homo_sapiens_gca018470425v1
f167ff7b-e5d5-4d88-89f5-6ffab1fb343b	homo_sapiens_gca018469935v1
6c00adb0-f094-4baa-b8be-3b457e917267	homo_sapiens_gca018469405v1
cd05419f-0977-40c3-8957-fa82b5b6dbe9	homo_sapiens_gca018469675v1
dbaa4e2f-81f9-4944-a2bd-c17069b8cf1c	astyanax_mexicanus_gca019721115v1
f10945c8-6917-4e97-ae18-53f618fbfa15	homo_sapiens_gca018470455v1
5410c91b-b99d-4a7f-b25d-243b623197c9	homo_sapiens_gca018470465v1
bd3b098e-013e-4687-8d9e-72952032481e	astyanax_mexicanus
7cc4a1b6-dd69-44ad-a8f1-ae5136e6dcdd	ovis_aries_rambouillet
f3dcef8c-0a30-4db8-b2db-05f07b572395	sus_scrofa_usmarc
9a87d8bb-e7db-43f2-b6fe-49a58d8f874e	triticum_aestivum_norin61
5deea7c1-1280-41c5-b3df-cd53a686947b	oryza_sativa_chaomeo
194a8b14-dd5c-4b79-9740-1fa644a38b25	rattus_norvegicus_shrspbbbutx
f0a865a1-9e28-4a03-b758-3c9442d5f7af	astyanax_mexicanus_gca023375845v1
7cf558a0-f0d5-45ae-b21c-5e98ee6f6cd7	cricetulus_griseus_chok1gshd
963df045-925b-4839-abb6-ca2bfaf2b047	brassica_napus
a6edaf0c-daed-4f0f-8de3-f732502973b2	canis_lupus_familiaris
932f1b21-8046-46b8-8a2a-4dcb0ad55892	homo_sapiens_gca018469705v1
463be090-4560-40c6-b184-af666d265c6c	homo_sapiens_gca018469685v1
8a08b8db-ec11-4fe3-8ec2-7485ef877152	homo_sapiens_gca018471555v1
93a90edf-3f40-47cd-95ab-f0086977f3f2	homo_sapiens_gca018471545v1
80c925c8-5c7d-4757-8a04-a53d2a689719	oryza_sativa
0b534dfd-97d5-4acc-a242-f31604237a6a	macaca_mulatta
55342729-c98a-4c70-a088-76a2048dc39e	cricetulus_griseus_gca003668045v2
1cbcb690-eef2-4b69-a3da-c2db949229b7	homo_sapiens_gca018472705v1
dae26260-9e8c-4c3d-abe7-ed16e057997b	homo_sapiens_gca018472695v1
6d1fcfd8-d9ec-4874-867c-e8a7588e32fe	oryzias_latipes_gca947078795v1
48212bf1-9719-434a-84c3-1ce38c3da717	oryzias_latipes_gca947078805v1
691274c4-00a1-4ede-8bf9-1c53ccead533	homo_sapiens_gca018469945v1
75156a18-47e0-4e59-8593-eaae7829e5ba	homo_sapiens_gca018469955v1
0e1a1b4a-efe8-43cc-9220-b5d93015cba6	mus_musculus_129s1svimj
4106e9ef-1bb1-4ca4-974c-8de8875b8456	bos_taurus
041b8327-222c-4bfe-ae27-1d93c6025428	oryzias_latipes_gca002234715v1
d7ead350-309e-4821-9b7a-31d9ce8197a9	homo_sapiens_gca018466855v1
f544f1e8-1d21-4667-883b-7a6a43022962	homo_sapiens_gca018466985v1
8bce37f6-5353-4fb4-962f-f7e9a6c4303d	mus_musculus
1af9c037-5d25-4d07-9638-42ffe5c732b7	triticum_aestivum_julius
68ae7271-4b0c-44c4-9957-2f4c130ab9fc	oryza_sativa_arc
da38d82b-df50-419b-af74-886463b7bfa3	sus_scrofa
55d19691-588c-43ea-87f4-e08fa59c026a	capra_hircus_blackbengal
4c07817b-c7c5-463f-8624-982286bc4355	homo_sapiens_gca009914755v4
da1b2b5d-54cd-4c54-826d-ecb5cf27b28d	mus_musculus_casteij
b320c61b-b57d-4480-8ef3-49b7bce7ce67	sus_scrofa_meishan
f5140351-2c34-4d71-bf94-3c50ecea1617	oryza_sativa_ir64
2b2a03bf-f5dc-4350-be7f-cd7dc0e30140	mus_musculus_wsbeij
f499954c-7d95-4249-937d-e320ee5dab8d	triticum_aestivum_arinalrfor
48dd6ebd-04f4-433b-b79f-7afb752b8904	sorghum_bicolor
bc9cb479-b1e3-460b-b4ac-d20b0fe1b350	triticum_turgidum
c0410902-1007-404d-a8dd-3adee003811e	arabidopsis_thaliana
ba305820-0d8a-4f53-9326-084a1fb0ea34	salmo_salar
4c4bef1e-611a-44f2-b359-fa9a47f16252	homo_sapiens_gca018504635v1
55bd3d43-2835-4dae-90da-95ff61d5d496	homo_sapiens_gca018504625v1
c1c7302d-cd35-45d1-8281-ae337b7d1e29	hordeum_vulgare_goldenpromise
1e539c0e-df18-46aa-96eb-d8fafd40a8e6	oryza_sativa_azucena
98b39256-68d8-4b27-aea6-06b617a0e89c	oryza_sativa_mh63
3866a017-afde-4129-9ad9-cb2a513b3c90	mus_musculus_fvbnj
16859b03-caf2-4cb3-bf1d-63821c8c7e3f	triticum_aestivum_renan
2b50f9b5-8e54-4de1-9ed2-930802c6fb64	oryzias_latipes_gca947078765v1
81edb3ba-b705-4308-8849-4d986c4fa789	oryza_sativa_khaoyaiguang
52a74477-ca84-4d83-95ec-22a7418ec6a3	oryctolagus_cuniculus
b1ad20fa-57f6-47b9-8024-2a2beea11c99	oryzias_latipes_gca002234695v1
6168f66d-ca17-4f6f-bd1b-111cff90a279	oryzias_latipes_gca947078775v1
049ff3c5-a313-45e7-a712-20a402df1a2c	triticum_aestivum_mace
09f7be72-741e-4c97-a0bf-d012627590f4	pan_paniscus
a733574a-93e7-11ec-a39d-005056b38ce3	saccharomyces_cerevisiae
58324582-550a-4764-a662-e1ee263a8217	sus_scrofa_rongchang
d1d26e8d-cd86-4c69-b2d3-13bfd702b033	mus_caroli
a733550b-93e7-11ec-a39d-005056b38ce3	caenorhabditis_elegans
2897ec29-297f-4153-bcad-9e7f292495db	mus_musculus_nzohlltj
17ab5873-5000-41a8-a78d-105d01573c28	glycine_max
3fb2bed5-aecd-4e36-88f1-7a464d64515d	oreochromis_niloticus
2b8df0a0-7000-495c-a9db-a093740f0264	gallus_gallus
0cbc227a-7179-43c2-8061-a50d94423c4d	rattus_norvegicus
bea33a50-feb9-4da8-a356-4cab6322c23e	mus_pahari
7ad2bd34-57f7-45d5-a327-6cf8a4b51f5f	oryza_sativa_ketannangka
385f8f7f-00bd-42f4-b057-f04d0d1e6cb3	monodelphis_domestica
b29f62e6-992e-4049-a26b-b6bd673c51e7	danio_rerio
5d5d10b4-674d-4759-bdd1-326799391047	sus_scrofa_pietrain
638cacf2-4abb-4b98-82a8-30167732c95d	sus_scrofa_landrace
72183a10-35d4-44b8-9b95-0355f679084b	sus_scrofa_bamei
4cab66d4-bdee-418b-b47f-59793aa210af	triticum_aestivum_stanley
84a55ad8-e432-479e-919d-c31731a7d5c6	triticum_aestivum_cadenza
cca4ea2c-0c7a-48dc-a0aa-3bdd992218f4	triticum_aestivum_mattis
e013c711-e615-45bc-91de-7e2058982079	megaderma_lyra_gca004026885v1
825d7e53-8c34-42a7-83b2-196265151e88	triticum_aestivum_robigus
55c416db-7412-42b7-9437-5f6903bec65f	triticum_aestivum_paragon
49213ac1-09c3-4c42-86d7-20b2f969dddd	triticum_aestivum_weebil
84cf31e1-c6f7-48c6-b35b-f7e7b4f143b8	salmo_salar_gca923944775v1
2284d28a-2cf7-41f0-bed6-0982601f7888	canis_lupus_familiarisboxer
4d9915bc-310a-4fa4-b652-b2dbbd8912ca	solanum_tuberosum
61db3dd6-9137-4a69-9b47-be4ef1b9697c	medicago_truncatula
91b59e70-c6bd-4b9d-8ac2-89c3f2aac1cb	oryza_sativa_n22
1cda6f4c-8f49-4305-b435-5cbe00adec9a	triticum_aestivum_claire
